number_of_missed_payments,number_of_bank_visits,score,income,use_online_streaming,number_of_bank_accounts,state,bad_customer
4.0,,,16601.0,0.0,5.0,West Bengal,1.0
0.0,,,42800.0,0.0,1.0,Maharashtra,1.0
11.0,30.0,607.0,16500.0,0.0,1.0,Tamil Nadu,0.0
29.0,,578.0,,0.0,3.0,Maharashtra,0.0
0.0,,,,0.0,0.0,Telangana,0.0
34.0,,688.0,20500.0,1.0,4.0,Karnataka,1.0
12.0,16.0,744.0,13964.0,0.0,4.0,Uttar Pradesh,1.0
2.0,20.0,711.0,15250.0,0.0,5.0,Tamil Nadu,0.0
0.0,8.0,704.0,17000.0,0.0,1.0,Madhya Pradesh,0.0
6.0,6.0,752.0,15000.0,1.0,1.0,Delhi,1.0
0.0,2.0,728.0,20000.0,0.0,0.0,Telangana,0.0
1.0,,,16000.0,0.0,1.0,Karnataka,0.0
7.0,22.0,745.0,55000.0,0.0,2.0,Maharashtra,1.0
43.0,,710.0,22000.0,0.0,1.0,Telangana,0.0
2.0,42.0,715.0,75000.0,0.0,1.0,Karnataka,0.0
44.0,29.0,746.0,,1.0,3.0,Telangana,0.0
0.0,5.0,752.0,12000.0,1.0,2.0,Karnataka,0.0
23.0,,,26426.0,0.0,3.0,Telangana,1.0
4.0,,745.0,,0.0,4.0,Gujarat,1.0
0.0,,628.0,10000.0,0.0,3.0,Telangana,0.0
3.0,,,15500.0,0.0,4.0,Karnataka,0.0
0.0,,,15000.0,1.0,2.0,Delhi,0.0
6.0,,631.0,22000.0,0.0,2.0,Telangana,1.0
,16.0,668.0,,0.0,,Andhra Pradesh,0.0
0.0,4.0,694.0,15000.0,0.0,1.0,West Bengal,1.0
0.0,,,12500.0,0.0,0.0,Madhya Pradesh,0.0
104.0,9.0,801.0,22000.0,0.0,1.0,Tamil Nadu,1.0
8.0,,,,0.0,1.0,Meghalaya,0.0
43.0,,,17250.0,0.0,2.0,Karnataka,0.0
9.0,19.0,673.0,19000.0,1.0,2.0,Delhi,0.0
0.0,14.0,733.0,17000.0,0.0,3.0,Karnataka,0.0
0.0,,,16900.0,0.0,1.0,Karnataka,0.0
11.0,,,65000.0,1.0,2.0,Maharashtra,0.0
1.0,16.0,727.0,18000.0,0.0,1.0,Delhi,0.0
0.0,14.0,739.0,22000.0,0.0,5.0,Uttar Pradesh,0.0
37.0,42.0,656.0,33000.0,1.0,1.0,Uttar Pradesh,1.0
3.0,13.0,699.0,21000.0,0.0,1.0,Uttar Pradesh,0.0
2.0,17.0,749.0,25000.0,0.0,1.0,Delhi,1.0
0.0,5.0,734.0,11500.0,0.0,3.0,Karnataka,0.0
